edge_id,src_node_id,dst_node_id,edge_type,direction,confidence,coherence_class,weight,notes,created_at,edge_layer,reviewer_attack,rewrite_suggestion
e488bfd82328a50d,mechanism:aperiodic_substrate,claim:coherence_is_aperiodic_plus_modulation,MECHANISM_FOR,->,Gold,C2,1.0,Aperiodic ground state is one of two levels,2026-02-17T02:15:45.416551,MECHANISM,,
eb2322eabd430289,mechanism:periodic_modulation,claim:coherence_is_aperiodic_plus_modulation,MECHANISM_FOR,->,Gold,C1,1.0,Periodic modulation is the second level,2026-02-17T02:15:45.416551,MECHANISM,,
2d3b6ea6887db85b,claim:coherence_is_aperiodic_plus_modulation,claim:fibonacci_preserves_coherence,DEPENDS_ON,->,Gold,C2,1.0,"If coherence is aperiodic, Fibonacci timing should work better",2026-02-17T02:15:45.416551,INTERPRETATION,,
f04d559159752736,model:SOC,claim:zl_075_is_criticality,MECHANISM_FOR,->,Gold,C2,1.0,SOC predicts self-tuning to critical point,2026-02-17T02:15:45.416551,MECHANISM,,
16af1dc2f47886c1,model:HKB,claim:glyph_transitions_are_bifurcations,MECHANISM_FOR,->,Gold,C1,1.0,HKB provides math for phase transitions,2026-02-17T02:15:45.416551,MECHANISM,,
deb2b6e907102b8e,claim:zl_075_is_criticality,claim:nabla_is_metastability,DEPENDS_ON,->,Silver,C2,1.0,"If 0.75 is critical, nabla is the metastable zone",2026-02-17T02:15:45.416551,INTERPRETATION,,
9b80fccd178b3f07,model:FEP,claim:prediction_is_unified_mechanism,MECHANISM_FOR,->,Gold,C2,1.0,FEP is the mathematical framework,2026-02-17T02:15:45.416551,MECHANISM,,
c5e7d23be5f80505,mechanism:predictive_processing,claim:prediction_is_unified_mechanism,MECHANISM_FOR,->,Gold,C2,1.0,Predictive processing is the neural implementation,2026-02-17T02:15:45.416551,MECHANISM,,
f4c59ef78548b646,model:IIT,claim:consciousness_theories_converge,EVIDENCE_FOR,->,Silver,C2,1.0,IIT requires integration,2026-02-17T02:15:45.416551,INTERPRETATION,,
68ad92d62194fa92,model:GWT,claim:consciousness_theories_converge,EVIDENCE_FOR,->,Silver,C2,1.0,GWT requires broadcasting,2026-02-17T02:15:45.416551,INTERPRETATION,,
0a5f6ba89230d41c,model:FEP,claim:consciousness_theories_converge,EVIDENCE_FOR,->,Silver,C2,1.0,FEP requires self-evidencing,2026-02-17T02:15:45.416551,INTERPRETATION,,
9a73240b840622a6,mechanism:vagal_regulation,claim:coherence_pyramid_order,MECHANISM_FOR,->,Gold,C1,1.0,Vagal tone is prerequisite for social engagement,2026-02-17T02:15:45.416551,MECHANISM,,
deb0ac0acf055a47,model:polyvagal,mechanism:vagal_regulation,MECHANISM_FOR,->,Gold,C1,1.0,Polyvagal theory describes the hierarchy,2026-02-17T02:15:45.416551,MECHANISM,,
77d2ae83c69f34ae,mechanism:periodic_modulation,claim:312s_is_binding_window,MECHANISM_FOR,->,Silver,C1,1.0,Breath cycle matches temporal binding window,2026-02-17T02:15:45.416551,MECHANISM,,
135cff77155dd7ef,protocol:center_mode,mechanism:periodic_modulation,MECHANISM_FOR,->,Gold,C1,1.0,Center mode implements periodic modulation,2026-02-17T02:15:45.416551,MECHANISM,,
