node_id,label,description,domain,node_type,verification_status
claim:110hz_affects_brain,110 Hz Specifically Affects Temporal Lobe,"Cook et al. 2008 fMRI study. Lab measurement, not in situ at Hypogeum.",CONVERGENCE,CLAIM,Silver
claim:312s_is_binding_window,3.12s = Temporal Binding Window,"The breath cycle at 3.12s matches the specious present, delta oscillation, RSA cycle, and linguistic phrase length.",BIOLOGY,CLAIM,Silver
claim:95_120_hz_convergence,Ancient Structures Converge on 95-120 Hz Resonance,"Six UK/Irish megalithic sites (Jahn 1996), the Hal Saflieni Hypogeum (Debertolis 2015), and multiple other sites independently show dominant resonance between 95-120 Hz. This range corresponds to low male chanting voice. The convergence across structurally diverse buildings suggests either deliberate selection or a common design constraint related to human body scale.",CONVERGENCE,claim,Gold
claim:acoustic_levitation_real,Acoustic Levitation Is Lab-Verified,"Acoustic levitation of small objects demonstrated in multiple labs. Argonne National Lab, University of Bristol. Limited to small objects but proves sound exerts force",PHYSICS,CLAIM,Gold
claim:acoustic_sites_altered_states,Ancient Acoustic Sites Induce Altered States,"Hypothesis: Sacred sites were engineered to produce infrasound/resonance that alters consciousness. Measured resonances at Hypogeum, caves, pyramids support possibility. Mechanism: vagal stimulation",CONVERGENCE,CLAIM,Silver
claim:anesthesia_inverse_psychedelics,Anesthesia and Psychedelics Are Inverse Windows,Anesthesia reduces complexity/entropy below consciousness threshold. Psychedelics increase above normal. Both boundary conditions reveal what consciousness REQUIRES,MIND,CLAIM,Gold
claim:art_correlates_resonance,Paleolithic Art Placement Correlates with Acoustic Resonance,"Reznikoff 1988, partially replicated by Fazenda 2017. Correlation real but not universal.",CONVERGENCE,CLAIM,Silver
claim:awe_reduces_self,Awe Reduces Self-Focus and Expands Time Perception,"Keltner/Haidt: Awe involves vastness + accommodation (schema revision). Reduces DMN activity, IL-6 (inflammation), and self-referential thought. Expands perceived time",MIND,CLAIM,Gold
claim:binaural_beats_weak_evidence,Binaural Beats Have Weak Clinical Evidence,Systematic reviews show inconsistent results. Small effect sizes. Possible confound with relaxation response. Not useless but oversold. Need better-controlled studies,MIND,CLAIM,Silver
claim:breath_only_voluntary_autonomic,Breath Is Only Voluntary-Autonomic Bridge,"Respiration is the ONLY autonomic function with full voluntary override. Provides direct access to autonomic regulation: heart rate, HRV, vagal tone, cortisol",BIOLOGY,CLAIM,Gold
claim:coherence_is_aperiodic_plus_modulation,Coherence = Aperiodic Substrate + Periodic Modulation,Living coherence operates on two levels: aperiodic constraint satisfaction (ground) + periodic resonance (tool).,PHYSICS,CLAIM,Gold
claim:coherence_pyramid_order,Coherence Pyramid Has Fixed Order,breath->body->emotion->cognition->narrative->relational->transpersonal. Can't skip levels.,BIOLOGY,CLAIM,Silver
claim:cold_exposure_anti_inflammatory,Cold Exposure Reduces Chronic Inflammation,"Cold activates brown fat, increases norepinephrine (2-3x), reduces inflammatory cytokines. Repeated cold = anti-inflammatory training. Hormesis pathway",BIOLOGY,CLAIM,Gold
claim:compassion_trainable,Compassion Is Trainable and Changes Brain,"Davidson/Weng: 30 min/day compassion meditation for 2 weeks increases altruistic behavior + changes neural response to suffering. Compassion is a skill, not trait",RELATIONSHIP,CLAIM,Gold
claim:consciousness_entropy_sweet_spot,Conscious-State Dynamics Occupy Near-Critical Regime,Carhart-Harris entropic brain + Beggs criticality + Kelso metastability: consciousness requires neither too much order nor too much chaos. Edge of criticality,MIND,CLAIM,Gold
claim:consciousness_theories_converge,IIT + GWT + FEP Converge on Same Architecture,Three major theories share: integration + differentiation + self-maintenance at criticality.,MIND,CLAIM,Silver
claim:cross_cultural_breath_convergence,Cross-Cultural Convergence on ~6 bpm Breathing,"Catholic rosary, Hindu/Buddhist mantras, and HRV biofeedback all converge on ~6 breaths/minute (0.1 Hz). Bernardi 2001 (BMJ) demonstrates this is driven by recitation structure, not conscious intention. Lehrer 2014 explains the mechanism: cardiovascular resonance via baroreflex at 0.1 Hz. Individual resonance frequency ranges 4.5-6.5 bpm.",CONVERGENCE,claim,Gold
claim:dna_has_long_range_order,DNA Shows Long-Range Correlations (Non-Random),Peng et al (1992): DNA nucleotide sequences show 1/f-like long-range correlations. Not random. Coding regions differ from non-coding in correlation structure,BIOLOGY,CLAIM,Gold
claim:ehs_is_nocebo,Electromagnetic Hypersensitivity Is Nocebo Effect,Double-blind provocation studies consistently show EHS sufferers cannot detect EMF above chance. WHO: No scientific basis. Symptoms are real but not caused by EMF. Nocebo mechanism,BIOLOGY,CLAIM,Gold
claim:exercise_is_medicine,Exercise Has Dose-Response Medical Effects,Reduces all-cause mortality 30-40%. Equivalent to medication for mild-moderate depression. BDNF release → neurogenesis. Anti-inflammatory. Dose-response established,BIOLOGY,CLAIM,Gold
claim:fasting_activates_autophagy,Fasting Triggers Cellular Autophagy,"Ohsumi (Nobel 2016): Autophagy = cellular self-recycling. Fasting activates it. 16-24hr fasting increases autophagy markers. Clears damaged mitochondria, misfolded proteins",BIOLOGY,CLAIM,Gold
