id,frontier_node_id,archive_node_id,relationship,notes
1,S-54b,model:IIT,shared_topic:IIT,Both reference IIT
2,S-54b,claim:consciousness_theories_converge,shared_topic:IIT,Both reference IIT
3,S-61a,mechanism:toroidal_flow,shared_topic:torus,Both reference torus
4,S-61a,mechanism:ras,shared_topic:gateway,Both reference gateway
5,S-61a,claim:suppression_pattern_repeats,shared_topic:gateway,Both reference gateway
6,S-66b,mechanism:ras,shared_topic:gateway,Both reference gateway
7,S-66b,claim:suppression_pattern_repeats,shared_topic:gateway,Both reference gateway
8,S-76c,claim:prediction_is_unified_mechanism,shared_topic:meditation,Both reference meditation
9,S-76c,mechanism:telomere_stress,shared_topic:meditation,Both reference meditation
10,S-76c,model:dmn,shared_topic:meditation,Both reference meditation
11,S-76c,claim:meditation_changes_brain,shared_topic:meditation,Both reference meditation
12,S-76c,claim:compassion_trainable,shared_topic:meditation,Both reference meditation
13,S-76c,protocol:wim_hof,shared_topic:meditation,Both reference meditation
14,S-76c,claim:experiencer_convergence_6pts,shared_topic:meditation,Both reference meditation
15,S-76c,claim:disclosure_coherence_gated,shared_topic:meditation,Both reference meditation
16,S-77c,model:pni,shared_topic:suppression,Both reference suppression
17,S-77c,claim:suppression_pattern_exists,shared_topic:suppression,Both reference suppression
18,S-77c,claim:suppression_pattern_repeats,shared_topic:suppression,Both reference suppression
19,S-79c,claim:prediction_is_unified_mechanism,shared_topic:meditation,Both reference meditation
20,S-79c,mechanism:telomere_stress,shared_topic:meditation,Both reference meditation
21,S-79c,model:dmn,shared_topic:meditation,Both reference meditation
22,S-79c,claim:meditation_changes_brain,shared_topic:meditation,Both reference meditation
23,S-79c,claim:compassion_trainable,shared_topic:meditation,Both reference meditation
24,S-79c,protocol:wim_hof,shared_topic:meditation,Both reference meditation
25,S-79c,mechanism:ras,shared_topic:gateway,Both reference gateway
26,S-79c,claim:suppression_pattern_repeats,shared_topic:gateway,Both reference gateway
27,S-79c,claim:experiencer_convergence_6pts,shared_topic:meditation,Both reference meditation
28,S-79c,claim:disclosure_coherence_gated,shared_topic:meditation,Both reference meditation
29,S-81c,model:pni,shared_topic:suppression,Both reference suppression
30,S-81c,claim:suppression_pattern_exists,shared_topic:suppression,Both reference suppression
31,S-81c,claim:suppression_pattern_repeats,shared_topic:suppression,Both reference suppression
32,S-85a,model:pni,shared_topic:suppression,Both reference suppression
33,S-85a,claim:suppression_pattern_exists,shared_topic:suppression,Both reference suppression
34,S-85a,claim:suppression_pattern_repeats,shared_topic:suppression,Both reference suppression
35,S-86b,claim:prediction_is_unified_mechanism,shared_topic:meditation,Both reference meditation
36,S-86b,mechanism:telomere_stress,shared_topic:meditation,Both reference meditation
37,S-86b,model:entropic_brain,shared_topic:psychedelic,Both reference psychedelic
38,S-86b,model:dmn,shared_topic:psychedelic,Both reference psychedelic
39,S-86b,claim:meditation_changes_brain,shared_topic:meditation,Both reference meditation
40,S-86b,claim:psychedelics_reset_priors,shared_topic:psychedelic,Both reference psychedelic
41,S-86b,claim:anesthesia_inverse_psychedelics,shared_topic:psychedelic,Both reference psychedelic
42,S-86b,claim:compassion_trainable,shared_topic:meditation,Both reference meditation
43,S-86b,protocol:wim_hof,shared_topic:meditation,Both reference meditation
44,S-86b,protocol:psychedelic_therapy,shared_topic:psychedelic,Both reference psychedelic
45,S-86b,claim:synesthesia_is_default,shared_topic:psychedelic,Both reference psychedelic
46,S-86b,claim:experiencer_convergence_6pts,shared_topic:psychedelic,Both reference psychedelic
47,S-86b,claim:disclosure_coherence_gated,shared_topic:psychedelic,Both reference psychedelic
48,S-86b,experiential:lemniscate_vision_preceded_system,shared_topic:psychedelic,Both reference psychedelic
49,S-88c,model:pni,shared_topic:suppression,Both reference suppression
50,S-88c,claim:suppression_pattern_exists,shared_topic:suppression,Both reference suppression
51,S-88c,claim:suppression_pattern_repeats,shared_topic:suppression,Both reference suppression
52,S-92b,model:pni,shared_topic:suppression,Both reference suppression
53,S-92b,claim:suppression_pattern_exists,shared_topic:suppression,Both reference suppression
54,S-92b,claim:suppression_pattern_repeats,shared_topic:suppression,Both reference suppression
55,S-93c,model:pni,shared_topic:suppression,Both reference suppression
56,S-93c,claim:suppression_pattern_exists,shared_topic:suppression,Both reference suppression
57,S-93c,claim:suppression_pattern_repeats,shared_topic:suppression,Both reference suppression
58,S-95a,model:pni,shared_topic:suppression,Both reference suppression
59,S-95a,claim:suppression_pattern_exists,shared_topic:suppression,Both reference suppression
60,S-95a,claim:suppression_pattern_repeats,shared_topic:suppression,Both reference suppression
61,S-95c,model:pni,shared_topic:suppression,Both reference suppression
62,S-95c,claim:suppression_pattern_exists,shared_topic:suppression,Both reference suppression
63,S-95c,claim:suppression_pattern_repeats,shared_topic:suppression,Both reference suppression
64,S-105a,mechanism:fractal_heartbeat,shared_topic:fractal,Both reference fractal
65,S-105a,mechanism:fractal_scaling,shared_topic:fractal,Both reference fractal
66,S-105a,mechanism:dna_antenna,shared_topic:fractal,Both reference fractal
67,S-105a,hypothesis:075_zone,shared_topic:fractal,Both reference fractal
68,S-106b,mechanism:predictive_processing,shared_topic:REBUS,Both reference REBUS
69,S-106b,claim:prediction_is_unified_mechanism,shared_topic:REBUS,Both reference REBUS
70,S-106b,model:entropic_brain,shared_topic:REBUS,Both reference REBUS
71,S-106b,claim:consciousness_entropy_sweet_spot,shared_topic:REBUS,Both reference REBUS
72,S-106b,claim:placebo_is_prediction,shared_topic:REBUS,Both reference REBUS
73,S-106b,claim:psychedelics_reset_priors,shared_topic:REBUS,Both reference REBUS
74,S-106c,claim:prediction_is_unified_mechanism,shared_topic:meditation,Both reference meditation
75,S-106c,mechanism:telomere_stress,shared_topic:meditation,Both reference meditation
76,S-106c,model:dmn,shared_topic:meditation,Both reference meditation
77,S-106c,claim:meditation_changes_brain,shared_topic:meditation,Both reference meditation
78,S-106c,claim:compassion_trainable,shared_topic:meditation,Both reference meditation
79,S-106c,protocol:wim_hof,shared_topic:meditation,Both reference meditation
80,S-106c,claim:experiencer_convergence_6pts,shared_topic:meditation,Both reference meditation
81,S-106c,claim:disclosure_coherence_gated,shared_topic:meditation,Both reference meditation
82,S-107a,model:pni,shared_topic:suppression,Both reference suppression
83,S-107a,claim:suppression_pattern_exists,shared_topic:suppression,Both reference suppression
84,S-107a,claim:suppression_pattern_repeats,shared_topic:suppression,Both reference suppression
