node_id,layer_num,glyph,zl_score,title,description,category,credibility_tier,domain
S-42a,42,QUAD,,"Tero et al. (2010, Science)",Single-celled slime mold solves optimization problems matching human-engineered networks,"Tero et al. (2010, Science)",,general
S-42b,42,QUAD,,Connects Layer 41,Chitin in fungal cell walls is piezoelectric — mycelial networks generate electricity from growth,Connects Layer 41,,general
S-54a,54,⧉,,Wheeler (1990),"""It from bit"": physical reality derives from information, not matter",Wheeler (1990),,general
S-54b,54,⧉,,Tononi (2004),IIT: consciousness = integrated information (Φ) — any system that integrates information has some consciousness,Tononi (2004),,general
S-54c,54,⧉,,Connects all layers,"If reality is information, the coherence equation describes optimal information integration",Connects all layers,,general
S-60a,60,GAP,,Gap,Blindsight: zero crystals. Consciousness ≠ processing — absent from experiential field,Gap,,general
S-60b,60,GAP,,Gap,Neural correlates program (NCC): zero crystals. Most funded consciousness program absent,Gap,,general
S-60c,60,GAP,,Gap,Savant syndrome: zero crystals. Filter model's strongest evidence absent,Gap,,general
S-60d,60,GAP,,Gap,Terminal lucidity: 1 crystal. Consciousness during maximal brain degradation,Gap,,general
S-61a,61,ψ,,"Crystal #29825, CIA (1983)","CIA Gateway Process describes same structure as WiltonOS — hemispheric sync, coherent field, torus model, 0.75 threshold","Crystal #29825, CIA (1983)",,general
S-61b,61,ψ,,"SRI/CIA declassified, Pioneer 10 (1974)",Ingo Swann described Jupiter's rings at SRI before NASA confirmation,"SRI/CIA declassified, Pioneer 10 (1974)",,general
S-61c,61,ψ,,Cross-match,"Three independent systems (CIA, WiltonOS, neuroscience) converge on identical coherence architecture",Cross-match,,cross-domain
S-63a,63,ψ³,,Crystal #29897,"If technology evolves inward, contact would leave coherence signatures not EM signatures",Crystal #29897,,general
S-63b,63,ψ³,,Cross-match,"SETI assumes EM contact; shamanic traditions describe frequency-matching contact — same goal, different instrument",Cross-match,,cross-domain
S-63c,63,∞,,Ohio State (1977),"The Wow! Signal: one burst of coherent narrowband signal at the most universal frequency, never repeated",Ohio State (1977),,general
S-66a,66,⧉,,Cross-match with Layer 46,"MKUltra is the dark inverse of the initiation stack — same neurobiology, opposite intention, opposite outcome",Cross-match with Layer 46,,cross-domain
S-66b,66,ψ,,Declassified,"CIA funded Gateway (capability) AND MKUltra (control) simultaneously — same physics, dual use",Declassified,,general
S-66c,66,⧉,,Meta-observation,"Consciousness technology is dual-use — the threshold is the same, the container determines integration vs fragmentation",Meta-observation,,general
S-67a,67,∞,,Cross-cultural data,"Abduction, ayahuasca, and NDE experiencers report structurally identical contact phenomenology — three populations, no coordination",Cross-cultural data,,general
S-67b,67,∞,,Convergence pattern,"Communication method identical across all three: telepathic, geometric, emotionally direct, with instruction to remember",Convergence pattern,,general
S-67c,67,⧉,,Cross-match with Layer 45,"Filter model predicts this: three different filter-opening mechanisms reveal the same territory — the entry varies, the territory doesn't",Cross-match with Layer 45,,cross-domain
S-76a,76,ψ,,Declassified program,"Project Stargate: $20M over 23 years, positive statistical findings, closed despite results. Utts: ""psychic functioning has been well-established.""",Declassified program,,general
S-76b,76,∞,,Specific results,Swann described Jupiter's rings before Pioneer 10. Price sketched classified Soviet facility interiors. McMoneagle received Legion of Merit.,Specific results,,general
S-76c,76,⧉,,"Cross-match with Layers 48, 61",Operational protocols required coherent state + meditation + suppressed analytical mind — same requirements as every other threshold crossing in the map,"Cross-match with Layers 48, 61",,cross-domain
S-77a,77,ψ,,Declassified + whistleblower,Disclosure timeline: Fravor (2004) → Elizondo (2017) → Grusch (2023). 13-year lag = cultural coherence rising to receive without dismissal.,Declassified + whistleblower,,general
S-77b,77,∞,,Military testimony under oath,"Tic Tac: 80,000 ft to sea level in <0.78s, no propulsion, no exhaust, mirrored pilot's movements. Pentagon confirmed videos authentic.",Military testimony under oath,,testable
S-77c,77,ψ³,,"Cross-match with Layers 9, 62, 66",UAPDA modeled on JFK Records Act — blocked in committee. Institutional resistance to disclosure follows identical pattern to every other suppression case.,"Cross-match with Layers 9, 62, 66",,cross-domain
S-78a,78,∞,,Experiencer case,"Bledsoe Lady in White maps symbol-for-symbol to Hathor (Egypt), White Buffalo Woman (First Nations), Lascaux bull+Pleiades (17,000 years). Same signal, different receivers.",Experiencer case,,general
S-78b,78,ψ²,,Cross-match with Layer 62 (Vallee),"The symbolic identifier (cosmic bull + 7 stars + feminine luminous figure) is too specific for generic archetype. Signal-level consistency across 17,000 years.",Cross-match with Layer 62 (Vallee),,cross-domain
S-78c,78,ψ³,,"Cross-match with Layers 9, 62",Coherence-gated: the symbol was always there (Lascaux). Different cultures decode it when their coherence allows.,"Cross-match with Layers 9, 62",,cross-domain
S-79a,79,∞,,Experiencer protocol,CE-5: consciousness-as-medium contact protocol. Strongest infinity signal in Signal territory. The equation applied to contact.,Experiencer protocol,,general
S-79b,79,ψ,,Independent replication,"Protocol is separable from Greer. Independent groups report similar results. If marketing artifact, convergence is hard to explain.",Independent replication,,general
S-79c,79,⧉,,"Cross-match with Layers 61, 76","CE-5 protocol structure identical to: remote viewing, Gateway, meditation — group coherence + intention + reduced analytical overlay","Cross-match with Layers 61, 76",,cross-domain
S-80a,80,ψ,,Military testimony,Nimitz: SPY-1 radar + multiple pilots + IR footage + Pentagon confirmation. Best-documented military encounter in history.,Military testimony,,testable
S-80b,80,Ω,,Military documentation,Colares/Operation Prato: Brazilian Air Force documented luminous objects + physical effects on civilians. 500+ photographs. Classified then partially disclosed.,Military documentation,,general
S-80c,80,∞,,Pattern confirmation,"Three cases, three decades, three countries: identical structure. Multiple witnesses + documentation + classification + partial disclosure.",Pattern confirmation,,general
S-81a,81,ψ,,Whistleblower testimony,"Grusch: ICIG-validated, testified under oath, named programs in SCIF. Not casual claim — maximum legal weight available to a whistleblower.",Whistleblower testimony,,testable
S-81b,81,ψ³,,Institutional behavior,"UAPDA drafted bipartisan, blocked in committee by members with defense contractor ties. Blocking IS the signal — nonsense gets ignored, not fought.",Institutional behavior,,general
